suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,101,1,0,0.713434,3.0346,1662,12,722.563,317.375,181,613,677,1125,677,0,0,1846923.00,1847024.00,1846973.50,308.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,234,1,0,9.62095,2.96955,1662,12,1129.17,304.056,181,613,677,1125,677,0,0,1847057.00,1847291.00,1847174.00,442.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,267,1,0,0.408866,2.9314,1662,12,1146.29,304.171,181,613,677,1125,677,0,0,1847299.00,1847566.00,1847432.50,684.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,114,1,0,7.18796,3.05729,1662,12,844.611,279.722,181,613,677,1125,677,0,0,1847660.00,1847774.00,1847717.00,1045.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,141,1,0,0.686136,3.07035,1662,12,862.727,257.409,181,613,677,1125,677,0,0,1847780.00,1847921.00,1847850.50,1165.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,114,1,0,2.74667,3.14196,1662,12,751.111,285.667,181,613,677,1125,677,0,0,1847941.00,1848055.00,1847998.00,1326.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,121,1,0,0.828327,3.16255,1662,12,757.684,319.737,181,613,677,1125,677,0,0,1848062.00,1848183.00,1848122.50,1447.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,120,1,0,10.2732,2.9884,1662,12,1190.74,278.789,181,613,677,1125,677,0,0,1848223.00,1848343.00,1848283.00,1608.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,94,1,0,1.74559,3.00487,1662,12,1177.93,350.8,181,613,677,1125,677,0,0,1848350.00,1848444.00,1848397.00,1735.00,28
2019_07_13_16_38_07,0,0,0-test-03-different2,N/A,N/A,81,1,0,5.9083,3.12176,1662,12,938.154,286.077,181,613,677,1125,677,0,0,1848524.00,1848605.00,1848564.50,1909.00,28
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,141,0,0,0,3.14238,409,3,925.227,441.045,181,613,869,1125,1061,0,0,1849522.00,1849663.00,1849592.50,0.00,28
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,81,0,0,1.33186,3.26549,409,3,981,439.385,181,613,869,1125,1061,0,0,1849669.00,1849750.00,1849709.50,147.00,28
2019_07_13_16_38_07,0,1,0-test-03-different2,different,S,187,0,0,1.42794,3.25381,409,3,925.517,461.759,181,613,869,1125,1061,0,0,1849757.00,1849944.00,1849850.50,235.00,28
